Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,SubCategory,Product Name,Sales,Quantity,Discount,Profit,Price,Total Sales
b6a796ee,2023-07-27,2024-02-12,Same Day,84e5c8,Miss Christine Welch,Home Office,West,Furniture,Storage,Management Large,486.02,9,0.08,57.97,54.00222222,447.1384
1969bb2c,2024-11-03,2023-12-16,First Class,6d42a9,Kristy Miller,Consumer,West,Furniture,Paper,Apply International,418.71,1,0.14,197.55,418.71,360.0906
93863e83,2024-09-25,2023-12-10,Second Class,20a468,Christian Rollins,Home Office,Central,Technology,Phones,Another Stage,451.67,5,0.28,105.68,90.334,325.2024
7e871039,2024-06-08,2024-08-27,Second Class,aeacc0,Joshua Jones,Consumer,Central,Office Supplies,Paper,Leg Report,317.29,10,0.36,192.33,31.729,203.0656
6b052db9,2023-12-19,2023-09-21,Same Day,18eacb,Aaron Taylor,Home Office,West,Furniture,Storage,Both South,444.42,5,0.36,11.4,88.884,284.4288
7a5dde8f,2024-02-09,2023-05-17,Same Day,97f6d0,Michelle Boyle,Corporate,West,Furniture,Storage,Model Perform,388.44,1,0.18,50.96,388.44,318.5208
051f2587,2024-05-05,2025-01-31,Second Class,cf57a2,Matthew Anderson,Corporate,Central,Furniture,Storage,Choose Nation,466.91,3,0.22,34.57,155.6366667,364.1898
3836cdbf,2024-08-13,2024-05-25,First Class,416f4f,Penny Miller,Home Office,Central,Technology,Paper,Commercial Tonight,121.8,2,0.46,67.5,60.9,65.772
3ad18121,2023-05-07,2023-06-09,Standard Class,526b17,Adam Nelson,Home Office,Central,Technology,Binders,Campaign American,242.68,2,0.07,157.39,121.34,225.6924
95dbb629,2023-11-17,2023-06-03,Same Day,e0a8dd,Ricky Jackson,Corporate,South,Technology,Chairs,Pretty Course,372.36,8,0.25,31.73,46.545,279.27
88f0b86f,2024-08-13,2024-02-11,Standard Class,721c7f,Rachel Golden,Corporate,West,Office Supplies,Tables,Treatment Rock,444.13,5,0.35,193.42,88.826,288.6845
fa9af2bf,2023-09-27,2023-11-30,Same Day,c2b057,Matthew King,Consumer,Central,Technology,Chairs,Across Ago,189.79,6,0.45,177.26,31.63166667,104.3845
78ac1eed,2024-07-20,2024-09-28,Standard Class,3c0309,Anthony Wood,Corporate,Central,Furniture,Storage,Discuss Trip,174.7,8,0.4,101.83,21.8375,104.82
e2d8a9e2,2024-01-26,2023-03-27,Same Day,0ac4ef,Christine Stevens,Corporate,Central,Technology,Paper,Table Much,233.84,10,0.24,177.92,23.384,177.7184
77f2be7f,2024-03-15,2023-12-09,Standard Class,bbe438,Michael Cook,Corporate,West,Furniture,Paper,Pull Four,101.87,7,0.29,131.29,14.55285714,72.3277
59edcd64,2024-04-05,2023-06-23,Standard Class,0681f1,Jessica Fields,Consumer,East,Furniture,Chairs,Customer Finish,53.48,2,0.49,182.36,26.74,27.2748
dc1c6f0c,2023-12-23,2023-08-26,Same Day,7f6876,Sandra Lopez,Consumer,East,Office Supplies,Binders,And Maintain,101.19,7,0.44,22.34,14.45571429,56.6664
ff00767b,2024-02-27,2023-10-15,Second Class,791958,Madison Brown,Home Office,Central,Office Supplies,Chairs,Free Show,197.5,7,0.02,110.2,28.21428571,193.55
92c75243,2023-09-10,2023-07-20,Second Class,c2d724,Eddie Perez,Corporate,Central,Furniture,Paper,Measure Use,478.11,2,0.43,84.37,239.055,272.5227
192edf8b,2024-12-23,2023-04-28,Standard Class,f1b8bc,Christopher Campbell Jr.,Consumer,Central,Furniture,Paper,Deep Old,451.92,9,0.33,10.16,50.21333333,302.7864
12989f14,2025-01-31,2024-07-18,Second Class,be5557,Andrew Burns,Consumer,West,Office Supplies,Chairs,Star Capital,167.15,7,0.29,64.14,23.87857143,118.6765
9402315a,2023-09-28,2024-02-15,Same Day,fe2ec9,Heather Moore,Home Office,Central,Furniture,Binders,Experience Know,384.39,10,0.07,135.87,38.439,357.4827
9bc5c404,2023-04-18,2023-06-07,Same Day,5abdef,James Arroyo,Consumer,South,Technology,Tables,Go Pay,72.2,6,0.4,191.79,12.03333333,43.32
3d772ed0,2025-02-07,2023-04-15,First Class,a9cbbc,Melissa Watts,Consumer,East,Technology,Tables,Dog Ok,57.06,6,0.23,166.88,9.51,43.9362
0d0ed1f5,2024-02-27,2024-03-04,First Class,266f46,Angela Shields,Home Office,East,Office Supplies,Tables,Generation Forward,84.89,6,0.26,120.56,14.14833333,62.8186
20204a78,2023-07-17,2024-11-25,Second Class,1ddcbe,James Medina,Home Office,Central,Technology,Storage,Career Success,454.39,10,0.07,169.5,45.439,422.5827
0e9375e4,2023-09-27,2024-03-17,Standard Class,f28ee6,Courtney Rose,Corporate,West,Office Supplies,Chairs,Also Activity,128.99,1,0.31,155.18,128.99,89.0031
9573ee08,2025-01-26,2024-07-04,Second Class,01b3f9,Megan Allen,Consumer,West,Office Supplies,Tables,Plant Guy,15.4,4,0.41,145.7,3.85,9.086
858f6b83,2023-09-14,2023-09-07,Standard Class,747e4e,Mark Thomas,Consumer,West,Technology,Paper,Use Option,220.93,6,0.1,165,36.82166667,198.837
e381b882,2024-12-30,2023-04-15,Second Class,4a2a13,Richard Williams,Home Office,South,Office Supplies,Binders,Political Response,191.52,10,0.44,58.28,19.152,107.2512
64bdf406,2023-12-01,2025-01-12,Same Day,086454,Scott Spears,Home Office,Central,Furniture,Paper,Onto Successful,426.72,8,0.35,160.32,53.34,277.368
a6650ec6,2023-03-10,2024-08-30,Second Class,7dd3d2,James Jenkins,Home Office,Central,Furniture,Paper,Now Itself,61.95,10,0.34,96.26,6.195,40.887
ea5572dd,2023-05-22,2023-04-04,Second Class,488f3f,Shawn Armstrong,Consumer,East,Furniture,Phones,Parent If,286.29,6,0.33,199.38,47.715,191.8143
0ff042ef,2024-09-24,2024-09-10,Second Class,1e6b29,Christopher Tran,Home Office,East,Office Supplies,Storage,Outside Explain,274.11,10,0.17,178.1,27.411,227.5113
7705ade9,2024-10-24,2023-08-04,Second Class,03b38c,Justin Smith,Corporate,South,Office Supplies,Binders,Threat Often,155.96,8,0.27,67.5,19.495,113.8508
bf2784de,2024-10-21,2025-01-26,Standard Class,cc9fd4,Warren Moran,Consumer,Central,Furniture,Paper,Around Interest,331.77,7,0.3,190.63,47.39571429,232.239
827bf5fa,2023-02-23,2025-01-02,Standard Class,4ef176,Brian Meza,Consumer,South,Technology,Chairs,Thus Alone,338.14,3,0.37,79.03,112.7133333,213.0282
69ee0480,2024-01-09,2024-03-25,Second Class,72941a,Clinton Meza,Consumer,West,Furniture,Binders,Kind Surface,461.49,3,0.2,68.42,153.83,369.192
a312aa33,2023-11-13,2023-12-19,Second Class,b5a35a,Justin Thomas,Consumer,Central,Furniture,Storage,Mean Evidence,321.19,6,0.36,50.4,53.53166667,205.5616
da0f765f,2023-07-12,2024-11-07,Second Class,e541d6,Donna Shelton,Consumer,Central,Technology,Paper,Door Cost,304.44,8,0.12,0.94,38.055,267.9072
96306ac6,2023-06-03,2024-03-25,First Class,b36741,Kelly Gould,Corporate,East,Office Supplies,Paper,Issue Own,329.56,10,0.15,140.56,32.956,280.126
d623efe0,2024-04-21,2024-09-17,Second Class,d72fe0,Herbert Jones,Consumer,South,Technology,Binders,Purpose Girl,137.26,2,0.29,23.74,68.63,97.4546
84472209,2023-08-29,2025-01-03,Second Class,7e652a,Richard Webster,Consumer,Central,Furniture,Phones,Drive Evidence,416.11,6,0.34,55.2,69.35166667,274.6326
8bdfc246,2023-06-26,2025-01-16,Standard Class,fba43b,Natalie Sanchez,Home Office,East,Office Supplies,Storage,Trial Good,130.34,3,0.35,148.35,43.44666667,84.721
ef9b83d7,2024-07-15,2024-07-13,Standard Class,379361,Danny Wilson,Home Office,Central,Office Supplies,Phones,Six Arrive,42.38,2,0.08,12.37,21.19,38.9896
cf0857ba,2024-02-08,2024-08-10,Second Class,b35b3e,Michelle Reid,Corporate,Central,Furniture,Binders,Major Discover,162.45,4,0.2,161.02,40.6125,129.96
54b09a34,2024-05-15,2024-09-01,First Class,35f9d5,Maria Scott,Consumer,West,Office Supplies,Tables,Coach Likely,300.72,4,0.19,104.49,75.18,243.5832
ec1b70a2,2023-06-05,2023-04-25,Second Class,3243b9,Jessica Lee,Consumer,West,Technology,Storage,Wear Happen,300.3,8,0.42,39.58,37.5375,174.174
41bcdcf3,2023-02-25,2024-07-19,First Class,ff5a54,Matthew Clark,Corporate,South,Technology,Storage,Or Professional,236.41,3,0.34,100.97,78.80333333,156.0306
1d22a74e,2024-01-05,2023-07-09,First Class,a97bae,Zachary Martinez,Corporate,Central,Office Supplies,Phones,Space Season,84.45,1,0.14,124.71,84.45,72.627
45f8ef5d,2023-03-13,2025-01-18,First Class,1db7dd,Paul Wolf,Corporate,Central,Furniture,Paper,Every Clear,244.14,7,0.36,76.02,34.87714286,156.2496
92f9f04c,2024-08-06,2023-05-23,Second Class,8b3681,Christopher Gallagher,Corporate,Central,Furniture,Storage,Head Fall,437.79,9,0.27,90.15,48.64333333,319.5867
4a7607d7,2024-06-03,2024-10-14,Standard Class,8155c0,Rebecca Patterson,Home Office,West,Furniture,Phones,From Sister,267.52,1,0.49,35.2,267.52,136.4352
397ebfd0,2025-01-24,2024-07-10,First Class,b08ea1,Jeremy Garcia,Consumer,West,Technology,Storage,Sister Leg,23.74,2,0.01,75.14,11.87,23.5026
3ea1f0fd,2023-05-14,2023-03-21,First Class,ea901b,Brianna Harper,Corporate,West,Office Supplies,Phones,Key Window,412.23,3,0.09,86.04,137.41,375.1293
830ebe3a,2024-09-25,2023-11-27,Second Class,5f8bb3,Melissa Martin,Corporate,West,Furniture,Tables,Growth Morning,83.68,2,0.48,137.05,41.84,43.5136
055951e3,2024-07-28,2024-01-31,Standard Class,e97b5b,Aaron Hurst,Home Office,Central,Office Supplies,Phones,News Across,285.12,1,0.17,39.81,285.12,236.6496
64badefb,2024-03-15,2024-03-04,Same Day,6964e5,Claudia Smith,Corporate,South,Technology,Paper,Most Group,415.26,5,0.08,50.33,83.052,382.0392
9b81ad15,2024-04-06,2024-02-27,Same Day,3e5345,Denise Wright,Consumer,Central,Furniture,Storage,Draw Leader,471.49,2,0.46,100.89,235.745,254.6046
8313e294,2023-05-14,2023-10-08,First Class,eee6ec,Justin Meadows,Corporate,East,Office Supplies,Paper,Finally Our,265.53,10,0.41,153.33,26.553,156.6627
0b6d5305,2024-08-03,2023-12-16,First Class,a773ec,Michael Lawrence,Consumer,Central,Furniture,Storage,New Big,424.18,7,0.37,1.04,60.59714286,267.2334
c53fabb2,2024-04-09,2024-06-30,Same Day,012a59,Rebecca Nelson,Consumer,Central,Technology,Binders,Citizen Worry,192.76,2,0.46,15.95,96.38,104.0904
b75e5cbd,2023-12-07,2024-06-19,Standard Class,9a0a2f,Travis Wood,Home Office,South,Furniture,Storage,Able None,424.34,10,0.31,96.81,42.434,292.7946
fd106053,2023-09-14,2023-03-13,Second Class,49cb40,Briana Johnson,Corporate,East,Office Supplies,Storage,Reason Wish,406.07,5,0.49,95.22,81.214,207.0957
0d548552,2024-03-04,2024-10-13,First Class,29da71,Candace Duke,Home Office,East,Technology,Storage,Wall Remain,376.32,3,0.4,55.14,125.44,225.792
9d7ae756,2023-05-17,2023-06-12,Same Day,b1448b,Allen Richardson,Consumer,East,Office Supplies,Paper,Place Audience,131.4,7,0.39,62.54,18.77142857,80.154
dbc2c26d,2024-03-11,2023-12-01,First Class,b47ccb,Ms. Sydney Robbins,Corporate,South,Technology,Chairs,Available Beat,266.27,6,0.19,161,44.37833333,215.6787
5ed046ad,2024-04-02,2024-11-22,Standard Class,1f7910,Logan Hernandez,Corporate,East,Furniture,Tables,One Early,216.58,10,0.43,170.32,21.658,123.4506
adf4f06f,2023-07-27,2023-07-23,Standard Class,0df66e,Arthur Schneider,Home Office,Central,Office Supplies,Chairs,There Attack,485.11,7,0.23,89,69.30142857,373.5347
61bbb6b5,2024-01-03,2023-08-10,Second Class,4dfc6a,Donald Lee,Consumer,South,Technology,Tables,Rise Sure,346.04,1,0.22,49.29,346.04,269.9112
86f550d7,2023-08-15,2024-09-27,Same Day,0f875f,Mrs. Janice Berry,Home Office,West,Office Supplies,Paper,According Yeah,261.04,3,0.37,21.09,87.01333333,164.4552
1647c66e,2023-09-28,2023-12-03,Standard Class,35ec72,Christopher Moore,Corporate,East,Office Supplies,Tables,No Agreement,306.89,6,0.39,197.02,51.14833333,187.2029
1de99890,2024-04-10,2024-02-15,Standard Class,b6414b,Megan Cummings,Corporate,South,Office Supplies,Phones,College She,99.16,8,0.25,114.71,12.395,74.37
9e2a4bd7,2023-09-28,2024-03-05,First Class,48a5a2,Joseph Marshall,Home Office,South,Furniture,Binders,Population Guy,410.02,4,0.47,192.13,102.505,217.3106
a31795ef,2023-05-20,2025-01-08,Standard Class,c1d62f,Todd Johnson,Home Office,Central,Technology,Phones,Yes Chair,75.62,5,0.18,115.23,15.124,62.0084
067dd068,2024-05-17,2023-09-03,Standard Class,1e1861,Christopher Davis,Consumer,East,Furniture,Tables,Challenge Media,142.63,6,0.25,155.4,23.77166667,106.9725
cc853adc,2024-12-01,2023-12-25,First Class,ce9314,Kevin Wilson,Corporate,Central,Technology,Chairs,Where Identify,100.85,4,0.3,49.8,25.2125,70.595
a54b55d8,2024-04-20,2024-04-09,Second Class,6d1343,Karen Lam,Corporate,East,Technology,Phones,Collection Into,203.84,4,0.21,148.47,50.96,161.0336
89a6c685,2024-02-14,2024-09-09,Second Class,cc669b,Victoria Estrada,Consumer,East,Technology,Binders,Color Realize,77.99,5,0.45,71.79,15.598,42.8945
0730f12f,2024-05-07,2023-11-05,First Class,691757,Kristy Lawrence,Corporate,South,Furniture,Tables,Body War,454.08,7,0.05,81.48,64.86857143,431.376
a62220f0,2023-03-24,2023-06-20,First Class,0cd139,Jordan Gordon,Corporate,West,Office Supplies,Paper,Him Teacher,358.95,2,0.09,128.56,179.475,326.6445
acd48e2d,2023-09-13,2023-11-24,First Class,48cc87,Monica Schultz,Home Office,East,Technology,Phones,Important Three,246.56,5,0.43,161.44,49.312,140.5392
87f1b24c,2024-05-14,2024-11-27,Second Class,6fe6b3,Daniel Hernandez,Home Office,West,Technology,Phones,Fear Page,47.58,10,0.23,13.51,4.758,36.6366
15c24c66,2024-12-07,2024-10-14,Second Class,6d52dd,Randy Hoffman,Home Office,South,Furniture,Binders,Seem Often,191.44,4,0.44,39.09,47.86,107.2064
ed5f9b36,2023-03-30,2023-11-03,Same Day,16682d,John Miller,Consumer,West,Technology,Binders,Impact End,434.25,8,0.33,187.06,54.28125,290.9475
c94e1b00,2023-10-24,2023-12-23,Standard Class,0732e2,Glenn Williamson,Home Office,West,Office Supplies,Tables,Local Maybe,337.41,2,0.11,157.56,168.705,300.2949
5c67baf7,2024-05-02,2023-12-24,Second Class,96ad67,James Henry,Home Office,South,Office Supplies,Storage,Republican Site,37.62,6,0.11,100.24,6.27,33.4818
257f26aa,2024-03-31,2025-02-05,First Class,0132d4,Leah Vance,Home Office,Central,Furniture,Phones,Religious Perhaps,224.34,4,0.3,5.28,56.085,157.038
d8cf6f43,2023-07-08,2024-05-20,Second Class,befdb4,Tammy Spencer,Consumer,West,Technology,Storage,Lose Radio,426.49,6,0.43,91.19,71.08166667,243.0993
850ecfac,2023-08-02,2023-08-22,First Class,604b73,Theodore Chapman,Corporate,West,Technology,Phones,Seek Research,367.11,1,0.48,134.02,367.11,190.8972
965b3f4c,2023-09-02,2023-07-10,Same Day,1f8c2a,David Cabrera,Consumer,Central,Office Supplies,Paper,Whether Stuff,285.08,4,0.48,190.1,71.27,148.2416
d903476b,2023-02-12,2024-07-27,Second Class,268e8a,Elizabeth Ryan,Consumer,Central,Office Supplies,Phones,Medical Against,179.64,7,0.39,147.84,25.66285714,109.5804
5f429e73,2024-03-18,2024-01-30,First Class,406d95,Jennifer Williamson,Corporate,South,Furniture,Phones,Itself Fund,161.35,10,0.48,94.07,16.135,83.902
41164028,2025-01-24,2024-07-15,First Class,01d4cb,Jasmine Evans,Home Office,South,Technology,Tables,Dream Suffer,248.16,4,0.17,196.71,62.04,205.9728
6365d326,2024-03-17,2024-12-16,Second Class,c419b9,Colleen Navarro,Consumer,West,Furniture,Binders,Explain Fall,281.58,6,0.24,0.49,46.93,214.0008
7a6cfcc8,2024-08-05,2024-01-15,Second Class,cafcce,Kristin Russell,Consumer,West,Technology,Chairs,Cup Expect,127,2,0.32,150.84,63.5,86.36
142f875b,2023-08-29,2024-05-18,Second Class,a3c574,Madeline Trevino,Corporate,East,Technology,Binders,Season Such,72.42,9,0.36,54.83,8.046666667,46.3488
035870e1,2023-09-01,2023-04-22,First Class,91bb80,Ashley Neal,Home Office,South,Furniture,Storage,Course Personal,417.57,3,0.19,123.5,139.19,338.2317
d6b4d037,2024-10-02,2024-07-10,First Class,ee9864,Donald Burns,Consumer,South,Technology,Storage,Finally Then,499.78,5,0.32,125.78,99.956,339.8504
fac27668,2025-01-31,2024-01-11,Standard Class,e36736,Alexander Juarez,Consumer,East,Technology,Chairs,Shake Garden,18.3,5,0.32,82.42,3.66,12.444
7845000f,2023-09-01,2023-10-03,Second Class,31b6a0,Erica Anthony,Home Office,Central,Office Supplies,Phones,Law Their,359.4,2,0.15,47.33,179.7,305.49
becb4b1a,2023-04-07,2024-01-21,Same Day,9ef8fa,Kevin Blair,Home Office,West,Furniture,Phones,Customer Anyone,70.08,6,0.06,139.95,11.68,65.8752
0acb051c,2024-05-02,2024-03-13,Second Class,6481b8,Garrett Merritt,Consumer,West,Technology,Paper,Away Present,297.84,6,0,28.68,49.64,297.84
69b09161,2023-02-24,2023-06-09,Standard Class,482f9f,Jacob Castillo,Consumer,Central,Office Supplies,Tables,Call Company,298.59,5,0.44,90.45,59.718,167.2104
b01b3660,2024-04-24,2023-03-07,First Class,08005b,William Kennedy,Home Office,Central,Technology,Chairs,Security Western,76.33,7,0.48,154.53,10.90428571,39.6916
53576d98,2023-03-18,2024-12-07,Same Day,100be5,Christy Watson,Corporate,Central,Furniture,Storage,Picture Letter,114.19,7,0.24,100.25,16.31285714,86.7844
20a5db29,2024-05-05,2025-02-02,Same Day,ec8ce5,Angela Alvarado,Corporate,Central,Office Supplies,Phones,Board Western,405.5,7,0.2,33.21,57.92857143,324.4
5ffbbc5a,2023-05-08,2023-04-20,Second Class,6665fe,Yesenia Farrell,Consumer,South,Office Supplies,Storage,Apply Born,432.54,10,0.34,187.86,43.254,285.4764
f39c0612,2023-09-25,2023-11-08,Standard Class,7e26d6,William Taylor,Consumer,East,Technology,Paper,Oil Me,359.13,8,0.42,66.15,44.89125,208.2954
ef479ab3,2024-08-18,2023-04-30,Second Class,0d523e,Jose Hernandez,Home Office,South,Technology,Paper,Book Front,368.57,7,0.22,19.93,52.65285714,287.4846
b19d6650,2023-10-01,2024-09-12,Second Class,b1700f,Samantha Allen,Home Office,East,Office Supplies,Paper,Effect Report,162.22,1,0.49,63.15,162.22,82.7322
8d852ba8,2024-03-04,2024-06-12,First Class,ebeede,Michael Greer,Consumer,Central,Furniture,Paper,Another Them,400.01,10,0.17,142.6,40.001,332.0083
ccf37e95,2024-11-19,2023-08-21,First Class,1eb13e,Teresa Glenn,Home Office,South,Office Supplies,Tables,Likely Benefit,197.27,6,0.11,131.92,32.87833333,175.5703
6ae97cea,2023-09-17,2024-05-08,Same Day,83c21f,James Mendoza,Home Office,South,Office Supplies,Tables,Half Off,382.89,3,0.23,27.6,127.63,294.8253
20c92875,2024-07-02,2024-11-03,Standard Class,7c6fbc,Amy Parker,Corporate,East,Furniture,Phones,Economy Pass,252.99,5,0.5,132.45,50.598,126.495
346c829a,2024-01-16,2023-05-23,Same Day,bf422c,Danielle Davis,Home Office,Central,Technology,Chairs,Within Simple,265.27,2,0.22,132.45,132.635,206.9106
743d525f,2024-01-11,2023-10-22,First Class,428dc5,Charles Pierce,Consumer,South,Office Supplies,Phones,Position Second,411.03,7,0.46,24.3,58.71857143,221.9562
6db5f195,2024-10-10,2023-10-14,Standard Class,6c08e0,Shawn Rosario,Consumer,East,Office Supplies,Chairs,Week Drive,382.65,9,0.04,147.41,42.51666667,367.344
d174ce79,2023-05-02,2023-04-20,Same Day,fee90a,James Paul,Consumer,South,Technology,Phones,Question Exist,489.32,1,0.16,1.24,489.32,411.0288
bcdc51de,2024-08-22,2023-05-23,Standard Class,295fa9,Jennifer Strong,Consumer,East,Technology,Binders,Ability Hard,357.22,3,0.15,144.34,119.0733333,303.637
0a5ab935,2024-08-24,2023-12-09,Standard Class,151c9b,Michael Webb,Corporate,Central,Furniture,Chairs,Certainly Major,260.36,9,0.5,115.1,28.92888889,130.18
e1aad8e6,2024-05-05,2023-05-29,Same Day,d9d8b8,Gregory Taylor,Consumer,West,Office Supplies,Paper,Tv Appear,33.48,8,0.49,74.61,4.185,17.0748
b291c947,2025-01-19,2023-06-05,First Class,803932,Emily Duncan,Corporate,South,Office Supplies,Binders,Develop Then,267.48,8,0.34,155.96,33.435,176.5368
264bff0a,2024-11-27,2023-08-01,Same Day,abb80d,Tammy Klein,Home Office,West,Technology,Storage,Ten Must,147.05,10,0.41,98.76,14.705,86.7595
b71b2896,2024-12-10,2024-02-18,First Class,989493,Diana Wallace,Corporate,Central,Office Supplies,Binders,Still City,486.89,4,0.48,5.39,121.7225,253.1828
0809858c,2023-05-19,2023-08-08,Second Class,d3dad9,Sarah Shah,Corporate,East,Technology,Storage,Top Base,192.66,1,0.4,128.83,192.66,115.596
0aa2732a,2023-05-07,2023-12-05,First Class,c560b5,John Wright DVM,Consumer,West,Technology,Tables,However Expect,166.37,3,0.38,127.92,55.45666667,103.1494
2d730491,2024-03-06,2024-01-17,Standard Class,48de20,Shelly Wright,Consumer,South,Furniture,Chairs,No Adult,192.25,4,0.2,192.03,48.0625,153.8
e877b6f2,2024-09-27,2023-09-12,Second Class,2a28ac,Justin Mcintosh,Corporate,East,Office Supplies,Storage,Follow Would,246.45,3,0.27,89.24,82.15,179.9085
98bb3e8f,2024-08-21,2024-11-08,First Class,b7b3ba,Tammy Calhoun,Home Office,Central,Furniture,Chairs,National Service,263.08,5,0.25,163.47,52.616,197.31
d0236ce4,2023-08-01,2024-11-02,Second Class,4b6326,Tony Sanford,Consumer,Central,Furniture,Paper,Movement Than,28.74,8,0.18,14.62,3.5925,23.5668
0e834eaf,2024-06-05,2023-05-05,Second Class,7aa19c,Barbara Matthews,Corporate,South,Technology,Phones,Although About,183.21,7,0.09,177.63,26.17285714,166.7211
e7adfdff,2024-09-05,2023-06-06,First Class,7cb610,Jaime Torres,Consumer,West,Office Supplies,Tables,Plan Admit,226.49,10,0.44,173.28,22.649,126.8344
8b9d55ee,2023-04-06,2024-08-26,Second Class,23b5a6,Shawn Ballard,Corporate,Central,Office Supplies,Chairs,Policy Everything,302.03,10,0.1,72.91,30.203,271.827
1fc3452f,2023-11-05,2023-04-03,Same Day,2e8fb9,Benjamin Flynn,Consumer,South,Furniture,Storage,Law Black,48.23,7,0.34,62.76,6.89,31.8318
14d87bf6,2023-04-19,2024-09-29,Standard Class,211382,Whitney Lopez,Home Office,Central,Technology,Tables,Drug Threat,263.11,6,0.37,72.74,43.85166667,165.7593
97e0e79b,2023-12-30,2023-11-26,Standard Class,424998,Sandra Griffin,Home Office,South,Office Supplies,Tables,Trade He,112.44,10,0.4,95.28,11.244,67.464
7d677c32,2023-05-31,2023-03-12,First Class,0f33b7,Kristin Acosta,Corporate,West,Office Supplies,Paper,Kid Tax,297.39,3,0.32,73.37,99.13,202.2252
0cca8b45,2024-05-11,2024-01-06,Same Day,cb7d89,Adam Wright,Consumer,East,Furniture,Paper,Somebody Gun,416.74,7,0.19,153.8,59.53428571,337.5594
51c1fd9e,2025-02-02,2023-09-16,Standard Class,58ae3d,Brittany Duncan,Corporate,West,Office Supplies,Storage,Now Property,491.13,7,0.29,117.93,70.16142857,348.7023
